Timing Results, AES-128 as Encryption/Decryption, SHA-512 with HMAC for secure vault update:
+-----------+--------------+--------------+----------------+--+------------+
| Device ID | Encrypt (ms) | Decrypt (ms) | SV Update (ms) |  | Auth. (ms) |
|    142    |  0.01931190  |  0.00572205  |   0.02193451   |  | 0.12540817 |
|    143    |  0.01883507  |  0.00834465  |   0.02861023   |  | 0.15330315 |
|    144    |  0.01692772  |  0.00762939  |   0.02145767   |  | 0.12898445 |
|    145    |  0.01668930  |  0.01001358  |   0.02098083   |  | 0.15258789 |
|    146    |  0.02121925  |  0.01001358  |   0.02884865   |  | 0.16975403 |
|    147    |  0.01549721  |  0.00596046  |   0.02455711   |  | 0.11754036 |
|    148    |  0.01764297  |  0.00905991  |   0.03123283   |  | 0.16236305 |
|    149    |  0.02026558  |  0.00953674  |   0.02932549   |  | 0.17547607 |
|    150    |  0.01907349  |  0.00810623  |   0.03504753   |  | 0.15926361 |
|    151    |  0.01859665  |  0.00739098  |   0.02741814   |  | 0.15258789 |
|    152    |  0.02551079  |  0.01025200  |   0.02861023   |  | 0.16760826 |
|    153    |  0.01263618  |  0.00500679  |   0.01883507   |  | 0.09989738 |
|    154    |  0.01764297  |  0.00882149  |   0.02741814   |  | 0.15187263 |
|    155    |  0.01239777  |  0.00524521  |   0.02288818   |  | 0.10299683 |
|    156    |  0.01955032  |  0.00572205  |   0.01788139   |  | 0.11610985 |
|    157    |  0.01621246  |  0.00548363  |   0.01931190   |  | 0.11181831 |
|    158    |  0.01716614  |  0.00667572  |   0.03099442   |  | 0.14090538 |
|    159    |  0.01192093  |  0.00524521  |   0.01883507   |  | 0.09894371 |
|    160    |  0.01192093  |  0.00572205  |   0.01883507   |  | 0.10180473 |
|    161    |  0.01144409  |  0.00500679  |   0.01883507   |  | 0.10681152 |
|    162    |  0.01478195  |  0.00548363  |   0.02002716   |  | 0.12540817 |
|    163    |  0.03242493  |  0.00596046  |   0.03838539   |  | 0.18286705 |
|    164    |  0.01978874  |  0.00762939  |   0.02694130   |  | 0.15139580 |
|    165    |  0.01502037  |  0.00524521  |   0.02002716   |  | 0.12445450 |
