Device 1 (D1) start connection to server
   D1 sends M1 to Server: (1, b'\xf4\x00I\xe8w\x8f\x15+\x99\xde\xac\x06v\x85\x0fN')
Server refuse Device 1, already connected


Timing Results, AES-128 as Encryption/Decryption, SHA-512 with HMAC for secure vault update:
+-----------+--------------+--------------+----------------+--+-------------+
| Device ID | Encrypt (ms) | Decrypt (ms) | SV Update (ms) |  |  Auth. (ms) |
|    161    |  0.02455711  |  0.00929832  |   0.03242493   |  |  0.18095970 |
|    162    |  0.02217293  |  0.00905991  |   0.03623962   |  |  0.17523766 |
|    163    |  0.02717972  |  0.00905991  |   0.03051758   |  |  0.17428398 |
|    164    |  0.02169609  |  0.01025200  |   0.03051758   |  |  0.17547607 |
|    165    |  0.02193451  |  0.00882149  |   0.03576279   |  |  0.17523766 |
|    166    |  0.02193451  |  0.00929832  |   0.03027916   |  |  0.16927719 |
|    167    |  0.02169609  |  0.00905991  |   0.03743172   |  |  0.17642975 |
|    168    |  0.02217293  |  0.00858307  |   0.03242493   |  |  0.18048286 |
|    169    |  0.02169609  |  0.00905991  |   0.03099442   |  |  0.17881393 |
|    170    |  0.02193451  |  0.00977516  |   0.03552437   |  |  0.17690659 |
|    171    |  0.02527237  |  0.00905991  |   0.03051758   |  |  0.18310547 |
|    172    |  0.02193451  |  0.01025200  |   0.02980232   |  |  0.18095970 |
|    173    |  0.02193451  |  0.00953674  |   0.03552437   |  |  0.17666817 |
|    174    |  0.02169609  |  0.00858307  |   0.03027916   |  |  0.17809868 |
|    175    |  0.02145767  |  0.00858307  |   0.03075600   |  |  0.16951561 |
|    176    |  0.01287460  |  0.00524521  |   0.01716614   |  |  0.09965897 |
|    177    |  0.02217293  |  0.00905991  |   0.03194809   |  |  0.17881393 |
|    178    |  0.02217293  |  0.00929832  |   0.03576279   |  |  0.18286705 |
|    179    |  0.02241135  |  0.00905991  |   0.03218651   |  |  0.17881393 |
|    180    |  0.02169609  |  0.00858307  |   0.02956390   |  |  0.18191338 |
|    181    |  0.02169609  |  0.00953674  |   0.03099442   |  |  0.17166138 |
|    182    |  0.02169609  |  0.00882149  |   0.03051758   |  |  0.17046928 |
|    183    |  0.02193451  |  0.00858307  |   0.03504753   |  |  0.18382072 |
|    184    |  0.02098083  |  0.00929832  |   0.02980232   |  |  0.17285347 |
|    185    |  0.02145767  |  0.00834465  |   0.02956390   |  |  0.17189980 |
|    186    |  0.03027916  |  0.00905991  |   0.03767014   |  |  0.18501282 |
|    187    |  0.02145767  |  0.00858307  |   0.03194809   |  |  0.17333031 |
|    188    |  0.02145767  |  0.00810623  |   0.02956390   |  |  0.17929077 |
|    189    |  0.02169609  |  0.00858307  |   0.03504753   |  |  0.18048286 |
|    190    |  0.02217293  |  0.00905991  |   0.02980232   |  |  0.17094612 |
|    191    |  0.02646446  |  0.00834465  |   0.03004074   |  |  0.17499924 |
|    192    |  0.02121925  |  0.00905991  |   0.02980232   |  |  0.16880035 |
|    193    |  0.02145767  |  0.00882149  |   0.02908707   |  |  0.17189980 |
|    194    |  0.02121925  |  0.00834465  |   0.03623962   |  |  0.17285347 |
|    195    |  0.02503395  |  0.00858307  |   0.02980232   |  |  0.17738342 |
|    196    |  0.02169609  |  0.00834465  |   0.02980232   |  |  0.17476082 |
|    197    |  0.02121925  |  0.00953674  |   0.03695488   |  |  0.17666817 |
|    198    |  0.02145767  |  0.00810623  |   0.03194809   |  |  0.16903877 |
|    199    |  0.02145767  |  0.01335144  |   0.02980232   |  |  0.18286705 |
|    200    |  0.02121925  |  0.00905991  |   0.02932549   |  |  0.16713142 |
|    201    |  0.01382828  |  0.00572205  |   0.01764297   |  |  0.12636185 |
|    202    |  0.02598763  |  0.00882149  |   0.04053116   |  |  0.18787384 |
|    203    |  0.02145767  |  0.00834465  |   0.02956390   |  |  0.17428398 |
|    204    |  0.02217293  |  0.00834465  |   0.03170967   |  |  0.17595291 |
|    205    |  0.02145767  |  0.00905991  |   0.03433228   |  |  0.17285347 |
|    206    |  0.02408028  |  0.00858307  |   0.02861023   |  |  0.17166138 |
|    207    |  0.02121925  |  0.01406670  |   0.02956390   |  |  0.17285347 |
|    208    |  0.02169609  |  0.00810623  |   0.02932549   |  |  0.16713142 |
|    209    |  0.02145767  |  0.00882149  |   0.03051758   |  |  0.17929077 |
|    210    |  0.02169609  |  0.00858307  |   0.03457069   |  |  0.17333031 |
|    211    |  0.02145767  |  0.00977516  |   0.02932549   |  |  0.17666817 |
|    212    |  0.08916855  |  0.01049042  |   0.03290176   |  |  0.28276443 |
|    213    |  0.02145767  |  0.00858307  |   0.03528595   |  |  0.17428398 |
|    214    |  0.02121925  |  0.00834465  |   0.02956390   |  |  0.16808510 |
|    215    |  0.02145767  |  0.01263618  |   0.03051758   |  |  0.17976761 |
|    216    |  0.02145767  |  0.00905991  |   0.03480911   |  |  0.17380714 |
|    217    |  0.02121925  |  0.00810623  |   0.02980232   |  |  0.16784668 |
|    218    |  0.03004074  |  0.00858307  |   0.03266335   |  |  0.18954277 |
|    219    |  0.02145767  |  0.00882149  |   0.03123283   |  |  0.17881393 |
|    220    |  0.02145767  |  0.00882149  |   0.03194809   |  |  0.17166138 |
|    221    |  0.02121925  |  0.00834465  |   0.03719330   |  |  0.18310547 |
|    222    |  0.02193451  |  0.00858307  |   0.03075600   |  |  0.17070770 |
|    223    |  0.02098083  |  0.00929832  |   0.02932549   |  |  0.17642975 |
|    224    |  0.02121925  |  0.00834465  |   0.03457069   |  |  0.18167496 |
|    225    |  0.02145767  |  0.00929832  |   0.02980232   |  |  0.16999245 |
|    226    |  0.02932549  |  0.00858307  |   0.02980232   |  |  0.18072128 |
|    227    |  0.02145767  |  0.00858307  |   0.03767014   |  |  0.18858910 |
|    228    |  0.02169609  |  0.00953674  |   0.03194809   |  |  0.18024445 |
|    229    |  0.02121925  |  0.00953674  |   0.03480911   |  |  0.18072128 |
|    230    |  0.02121925  |  0.00834465  |   0.03194809   |  |  0.17237663 |
|    231    |  0.02145767  |  0.00905991  |   0.02980232   |  |  0.17571449 |
|    232    |  0.02169609  |  0.00929832  |   0.03027916   |  |  0.17094612 |
|    233    |  0.02121925  |  0.00858307  |   0.03004074   |  |  0.16999245 |
|    234    |  0.02145767  |  0.00882149  |   0.03218651   |  |  0.17690659 |
|    235    |  0.02145767  |  0.00977516  |   0.03218651   |  |  0.17380714 |
|    236    |  0.01955032  |  0.00596046  |   0.02169609   |  |  0.13041496 |
|    237    |  0.03027916  |  0.00905991  |   0.03433228   |  |  0.18262863 |
|    238    |  0.02169609  |  0.00882149  |   0.03004074   |  |  0.17285347 |
|    239    |  0.02169609  |  0.00858307  |   0.03075600   |  |  0.18024445 |
|    240    |  0.02121925  |  0.00905991  |   0.03981590   |  |  0.18787384 |
|    241    |  0.02145767  |  0.00882149  |   0.02980232   |  |  0.16999245 |
|    242    |  0.02145767  |  0.00858307  |   0.03004074   |  |  0.18095970 |
|    243    |  0.02169609  |  0.00858307  |   0.03004074   |  |  0.17833710 |
|    244    |  0.02145767  |  0.00834465  |   0.03170967   |  |  0.17714500 |
|    245    |  0.02145767  |  0.00882149  |   0.03218651   |  |  0.17404556 |
|    246    |  0.02145767  |  0.00882149  |   0.02980232   |  |  0.18429756 |
|    247    |  0.02193451  |  0.00953674  |   0.02956390   |  |  0.18191338 |
