

Timing Results, ECC
+-----------+--------------+------------+-------------+--+------------+
| Device ID | Key Gen (ms) | Sign (ms)  | Verify (ms) |  | Auth. (ms) |
|    124    |  0.02312660  | 0.36263466 |  0.84519386 |  | 2.42161751 |
|    125    |  0.02312660  | 0.35905838 |  0.83899498 |  | 2.40755081 |
|    126    |  0.02241135  | 0.35881996 |  0.83923340 |  | 2.39920616 |
|    127    |  0.02217293  | 0.36573410 |  0.84114075 |  | 2.40659714 |
|    128    |  0.02241135  | 0.35452843 |  0.83756447 |  | 2.38871574 |
|    129    |  0.02217293  | 0.35834312 |  0.83732605 |  | 2.39515305 |
|    130    |  0.02193451  | 0.36072731 |  0.84137917 |  | 2.41160393 |
|    131    |  0.02312660  | 0.35834312 |  0.84161758 |  | 2.39729881 |
|    132    |  0.02288818  | 0.36382675 |  0.84114075 |  | 2.40612030 |
|    133    |  0.02264977  | 0.35715103 |  0.83994865 |  | 2.39872932 |
|    134    |  0.02288818  | 0.35524368 |  0.84161758 |  | 2.39825249 |
|    135    |  0.02217293  | 0.36001205 |  0.84304810 |  | 2.40445137 |
|    136    |  0.02264977  | 0.35810471 |  0.84328651 |  | 2.40206718 |
|    137    |  0.02241135  | 0.35881996 |  0.84400177 |  | 2.40278244 |
|    138    |  0.02264977  | 0.37145615 |  0.84328651 |  | 2.44021416 |
|    139    |  0.02408028  | 0.36048889 |  0.85353851 |  | 2.41923332 |
|    140    |  0.02384186  | 0.36501884 |  0.84471703 |  | 2.41231918 |
|    141    |  0.02288818  | 0.35667419 |  0.84805489 |  | 2.40993500 |
|    142    |  0.02431870  | 0.35810471 |  0.84257126 |  | 2.40206718 |
|    143    |  0.02241135  | 0.36191940 |  0.83947182 |  | 2.40206718 |
|    144    |  0.02264977  | 0.35786629 |  0.83637238 |  | 2.39992142 |
|    145    |  0.02264977  | 0.35905838 |  0.84090233 |  | 2.40278244 |
|    146    |  0.02264977  | 0.36191940 |  0.84209442 |  | 2.40373611 |
|    147    |  0.02241135  | 0.35572052 |  0.83971024 |  | 2.39491463 |
|    148    |  0.02217293  | 0.35953522 |  0.84018707 |  | 2.39491463 |
|    149    |  0.02217293  | 0.35619736 |  0.84090233 |  | 2.40683556 |
|    150    |  0.02360344  | 0.35762787 |  0.84185600 |  | 2.40445137 |
|    151    |  0.02264977  | 0.36144257 |  0.84114075 |  | 2.40397453 |
|    152    |  0.02264977  | 0.35691261 |  0.83613396 |  | 2.39419937 |
|    153    |  0.02264977  | 0.35643578 |  0.84328651 |  | 2.39968300 |
|    154    |  0.02241135  | 0.35905838 |  0.84328651 |  | 2.40421295 |
|    155    |  0.02241135  | 0.35715103 |  0.84185600 |  | 2.39610672 |
|    156    |  0.02241135  | 0.35643578 |  0.84090233 |  | 2.39729881 |
|    157    |  0.02241135  | 0.36239624 |  0.84161758 |  | 2.40755081 |
|    158    |  0.02241135  | 0.35834312 |  0.83994865 |  | 2.40254402 |
|    159    |  0.02288818  | 0.36144257 |  0.84066391 |  | 2.40373611 |
|    160    |  0.02193451  | 0.35405159 |  0.83780289 |  | 2.39777565 |
|    161    |  0.02193451  | 0.35858154 |  0.84257126 |  | 2.40468979 |
|    162    |  0.02288818  | 0.36430359 |  0.84257126 |  | 2.41827965 |
|    163    |  0.02264977  | 0.35762787 |  0.83851814 |  | 2.39515305 |
|    164    |  0.02264977  | 0.35929680 |  0.84257126 |  | 2.39968300 |
|    165    |  0.02288818  | 0.36191940 |  0.84710121 |  | 2.40921974 |
|    166    |  0.02336502  | 0.35905838 |  0.84400177 |  | 2.40445137 |
|    167    |  0.02241135  | 0.35929680 |  0.83994865 |  | 2.40206718 |
|    168    |  0.02241135  | 0.36025047 |  0.84137917 |  | 2.40945816 |
|    169    |  0.02241135  | 0.35953522 |  0.84400177 |  | 2.40731239 |
|    170    |  0.02217293  | 0.36358833 |  0.84090233 |  | 2.40445137 |
|    171    |  0.02241135  | 0.35500526 |  0.88262558 |  | 2.43830681 |
|    172    |  0.02646446  | 0.36454201 |  0.84257126 |  | 2.41708755 |
|    173    |  0.02312660  | 0.36287308 |  0.84447861 |  | 2.41327286 |
|    174    |  0.02288818  | 0.35715103 |  0.84257126 |  | 2.40445137 |
|    175    |  0.02241135  | 0.35834312 |  0.84352493 |  | 2.41088867 |
|    176    |  0.02241135  | 0.36144257 |  0.83923340 |  | 2.40349770 |
|    177    |  0.02288818  | 0.35810471 |  0.84185600 |  | 2.40373611 |
|    178    |  0.02217293  | 0.35834312 |  0.84185600 |  | 2.40397453 |
|    179    |  0.02217293  | 0.36072731 |  0.84328651 |  | 2.41160393 |
|    180    |  0.02241135  | 0.35977364 |  0.84424019 |  | 2.40755081 |
|    181    |  0.02241135  | 0.36168098 |  0.84686279 |  | 2.41589546 |
|    182    |  0.02217293  | 0.36168098 |  0.84137917 |  | 2.41756439 |
|    183    |  0.02241135  | 0.36549568 |  0.84543228 |  | 2.43043900 |
|    184    |  0.02241135  | 0.36525726 |  0.84543228 |  | 2.42137909 |
|    185    |  0.02241135  | 0.36215782 |  0.85091591 |  | 2.44355202 |
|    186    |  0.02384186  | 0.36215782 |  0.84376335 |  | 2.41637230 |
|    187    |  0.02312660  | 0.36549568 |  0.84161758 |  | 2.41017342 |
|    188    |  0.02288818  | 0.35977364 |  0.84471703 |  | 2.41041183 |
|    189    |  0.02288818  | 0.36549568 |  0.84710121 |  | 2.42328644 |
|    190    |  0.02241135  | 0.35810471 |  0.84114075 |  | 2.40874290 |
|    191    |  0.02264977  | 0.35858154 |  0.84114075 |  | 2.40492821 |
